name,lat,lng,country
Sam Bankman-Fried,18.2206,-63.0686,United States of America
Lukas Walton,36.3729,-94.2088,United States of America
John Collison ,37.77450625,", -122.5031776291255",United States of America
Patrick Collison,52.74829563,-8.572818438,United States of America
Melanie Perkins,-33.8651,151.2094,Australia
Bobby Murphy   Evan Spiegel,33.9425,-118.4081,United States of America
Gary Wang,"37.78264695170498,",-122.4485893,United States of America
Gustav Magnar Witzoe,63.4305,10.3951,Norway
Lu Yiwen,31.2304,121.4737,China
Ning Wang & family,31.2304,121.4737,China
Kevin David Lehmann,49.4521,11.0767,Germany
Timur Turlov,55.7522,37.6156,Russia
Nikil Viswanathan,37.7749,-122.4194,United States of America
Alex Atallah,37.7752,-122.4194,United States of America
Devin Finzer,40.7128,-74.006,United States of America
Jonathan Kwok,22.3193,114.1694,HongKong
Ginia Rinehart,-33.8651,151.2094,Australia
Fred Ehrsam,40.7051,-74.0092,United States of America
Rihanna,18.0425,-63.0548,United States of America
Hu Kunhui,39.9042,116.4074,China
Austin Russell,37.4086,-122.071,United States of America
Eva Maria Braun-Luedicke,53.5511,9.9937,Germany
Henrique Dubugras,34.15228847,-118.2479615,United States of America
Evan Spiegel,34.0302209,-118.4502166,United States of America
Apoorva Mehta,37.79201298,-122.3961334,United States of America
Joe Lau,37.42815489,-122.1697622,United States of America
Ryan Breslow,25.78950088,-80.20645918,United States of America
Pedro Franceschi,34.16023391,-118.4696106,United States of America
Zach Perret,38.191586,-122.2960939,United States of America
Wang Zelong,35.2314756,113.2509827,China
William Hockey,37.74268673,-122.4781208,United States of America
Alexandra Andresen,61.34116538,7.493292572,Norway
Katharina Andresen,62.86239814,10.48157389,Norway
Han Wang,31.13854107,121.3337239,China
Ludwig Theodor Braun,51.13945926,9.550709916,Germany
Heikki Herlin,60.20656302,24.91566296,Finland
Stanley Tang,37.78592945,-122.3954375,United States of America
Pedro de Godoy Bueno,-23.53996941,-46.48686139,Brasil 
Andy Fang,37.57785009,-106.1671528,United States of America
Franziska Wuerbser,51.87353827,7.675457279,Germany
