age,category,country
78,Food & Beverage,Algeria
78,Manufacturing,Andorra
86,Energy,Argentina
95,Healthcare,Argentina
75,Real Estate,Argentina
89,Diversified,Argentina
68,Metals & Mining,Australia
60,Metals & Mining,Australia
42,Technology,Australia
42,Technology,Australia
89,Real Estate,Australia
61,Manufacturing,Australia
71,Media & Entertainment,Australia
36,Technology,Australia
34,Technology,Australia
67,Technology,Australia
81,Diversified,Australia
57,Manufacturing,Australia
87,Real Estate,Australia
42,Technology,Australia
79,Food & Beverage,Australia
77,Fashion & Retail,Australia
59,Manufacturing,Australia
45,Metals & Mining,Australia
35,Metals & Mining,Australia
76,Real Estate,Australia
77,Real Estate,Australia
84,Logistics,Australia
91,Finance & Investments,Australia
82,Fashion & Retail,Australia
68,Metals & Mining,Australia
56,Media & Entertainment,Australia
51,Fashion & Retail,Australia
78,Food & Beverage,Australia
66,Telecom,Australia
74,Metals & Mining,Australia
76,Real Estate,Australia
78,Metals & Mining,Australia
78,Real Estate,Australia
72,Manufacturing,Australia
72,Finance & Investments,Australia
77,Real Estate,Australia
72,Finance & Investments,Australia
41,Technology,Australia
53,Technology,Australia
69,Media & Entertainment,Australia
77,Food & Beverage,Austria
49,Diversified,Austria
58,Fashion & Retail,Austria
70,Fashion & Retail,Austria
45,Real Estate,Austria
75,Gambling & Casinos,Austria
81,Fashion & Retail,Austria
56,Manufacturing,Austria
69,Construction & Engineering,Austria
49,Fashion & Retail,Austria
72,Manufacturing,Austria
65,Automotive,Austria
30,Finance & Investments,The Bahamas
28,Finance & Investments,The Bahamas
85,Finance & Investments,The Bahamas
62,Fashion & Retail,The Bahamas
77,Service,Bahrain
57,Food & Beverage,Belgium
60,Manufacturing,Belgium
58,Finance & Investments,Belgium
83,Food & Beverage,Bermuda
73,Food & Beverage,Bermuda
72,Food & Beverage,Brazil
77,Healthcare,Brazil
89,Diversified,Brazil
40,Finance & Investments,Brazil
53,Finance & Investments,Brazil
59,Fashion & Retail,Brazil
50,Food & Beverage,Brazil
49,Food & Beverage,Brazil
89,Diversified,Brazil
91,Diversified,Brazil
67,Food & Beverage,Brazil
72,Fashion & Retail,Brazil
75,Healthcare,Brazil
76,Finance & Investments,Brazil
64,Healthcare,Brazil
85,Fashion & Retail,Brazil
72,Energy,Brazil
68,Finance & Investments,Brazil
72,Energy,Brazil
45,Finance & Investments,Brazil
86,Finance & Investments,Brazil
68,Media & Entertainment,Brazil
66,Media & Entertainment,Brazil
74,Media & Entertainment,Brazil
75,Food & Beverage,Brazil
62,Diversified,Brazil
52,Finance & Investments,Brazil
72,Fashion & Retail,Brazil
75,Diversified,Brazil
60,Diversified,Brazil
65,Finance & Investments,Brazil
74,Healthcare,Brazil
48,Finance & Investments,Brazil
49,Healthcare,Brazil
51,Healthcare,Brazil
62,Manufacturing,Brazil
65,Manufacturing,Brazil
52,Manufacturing,Brazil
76,Finance & Investments,Brazil
59,Fashion & Retail,Brazil
60,Healthcare,Brazil
70,Fashion & Retail,Brazil
82,Finance & Investments,Brazil
64,Diversified,Brazil
69,Diversified,Brazil
58,Technology,Brazil
67,Diversified,Brazil
66,Diversified,Brazil
69,Diversified,Brazil
31,Healthcare,Brazil
81,Real Estate,Brazil
36,Manufacturing,Brazil
52,Finance & Investments,Brazil
71,Diversified,British Virgin Islands
74,Gambling & Casinos,Cambodia
64,Media & Entertainment,Canada
93,Diversified,Canada
72,Food & Beverage,Canada
65,Fashion & Retail,Canada
73,Fashion & Retail,Canada
41,Technology,Canada
85,Food & Beverage,Canada
60,Diversified,Canada
67,Real Estate,Canada
94,Diversified,Canada
92,Energy,Canada
42,Technology,Canada
94,Fashion & Retail,Canada
81,Real Estate,Canada
55,Manufacturing,Canada
71,Construction & Engineering,Canada
60,Real Estate,Canada
70,Finance & Investments,Canada
81,Finance & Investments,Canada
90,Food & Beverage,Canada
65,Fashion & Retail,Canada
65,Technology,Canada
72,Technology,Canada
53,Manufacturing,Canada
65,Finance & Investments,Canada
71,Finance & Investments,Canada
89,Finance & Investments,Canada
96,Finance & Investments,Canada
72,Real Estate,Canada
76,Technology,Canada
60,Media & Entertainment,Canada
78,Food & Beverage,Canada
79,Telecom,Canada
80,Finance & Investments,Canada
56,Real Estate,Canada
61,Real Estate,Canada
73,Fashion & Retail,Canada
62,Media & Entertainment,Canada
50,Manufacturing,Canada
71,Finance & Investments,Canada
50,Manufacturing,Canada
75,Real Estate,Canada
75,Media & Entertainment,Cayman Islands
66,Finance & Investments,Cayman Islands
82,Fashion & Retail,Cayman Islands
79,Metals & Mining,Chile
76,Metals & Mining,Chile
87,Fashion & Retail,Chile
72,Finance & Investments,Chile
73,Diversified,Chile
68,Diversified,Chile
67,Food & Beverage,China
38,Media & Entertainment,China
53,Automotive,China
50,Technology,China
93,Diversified,China
94,Real Estate,China
79,Manufacturing,China
50,Technology,China
51,Service,China
56,Food & Beverage,China
58,Automotive,China
57,Technology,China
55,Automotive,China
66,Food & Beverage,China
56,Automotive,China
40,Real Estate,China
55,Energy,China
68,Healthcare,China
54,Metals & Mining,China
71,Healthcare,China
63,Healthcare,China
66,Manufacturing,China
75,Real Estate,China
55,Healthcare,China
59,Automotive,China
58,Automotive,China
58,Real Estate,China
49,Metals & Mining,China
58,Food & Beverage,China
70,Real Estate,China
57,Finance & Investments,China
73,Service,China
67,Real Estate,China
54,Manufacturing,China
50,Technology,China
56,Healthcare,China
92,Real Estate,China
63,Energy,China
59,Manufacturing,China
98,Diversified,China
52,Technology,China
93,Gambling & Casinos,China
42,Technology,China
69,Energy,China
43,Technology,China
48,Technology,China
65,Manufacturing,China
56,Manufacturing,China
52,Technology,China
57,Technology,China
54,Technology,China
76,Metals & Mining,China
53,Energy,China
70,Service,China
54,Automotive,China
63,Real Estate,China
55,Healthcare,China
76,Food & Beverage,China
59,Real Estate,China
57,Energy,China
64,Manufacturing,China
56,Manufacturing,China
57,Technology,China
58,Fashion & Retail,China
58,Technology,China
74,Real Estate,China
57,Manufacturing,China
61,Healthcare,China
51,Fashion & Retail,China
65,Manufacturing,China
65,Food & Beverage,China
58,Fashion & Retail,China
64,Food & Beverage,China
80,Energy,China
64,Manufacturing,China
52,Technology,China
53,Manufacturing,China
53,Technology,China
55,Technology,China
77,Manufacturing,China
73,Real Estate,China
51,Manufacturing,China
61,Manufacturing,China
52,Food & Beverage,China
67,Manufacturing,China
60,Manufacturing,China
57,Diversified,China
58,Automotive,China
58,Finance & Investments,China
55,Diversified,China
58,Healthcare,China
58,Manufacturing,China
50,Manufacturing,China
54,Technology,China
70,Healthcare,China
58,Manufacturing,China
46,Manufacturing,China
71,Real Estate,China
53,Manufacturing,China
58,Food & Beverage,China
57,Technology,China
38,Fashion & Retail,China
59,Fashion & Retail,China
61,Finance & Investments,China
54,Manufacturing,China
53,Manufacturing,China
64,Manufacturing,China
81,Real Estate,China
54,Technology,China
73,Manufacturing,China
55,Manufacturing,China
48,Manufacturing,China
63,Real Estate,China
60,Automotive,China
57,Diversified,China
49,Fashion & Retail,China
59,Healthcare,China
53,Food & Beverage,China
41,Technology,China
59,Food & Beverage,China
64,Logistics,China
62,Real Estate,China
51,Logistics,China
55,Telecom,China
61,Finance & Investments,China
66,Technology,China
59,Healthcare,China
55,Diversified,China
56,Healthcare,China
58,Manufacturing,China
58,Technology,China
70,Real Estate,China
35,Fashion & Retail,China
52,Manufacturing,China
70,Fashion & Retail,China
49,Media & Entertainment,China
40,Media & Entertainment,China
70,Manufacturing,China
82,Real Estate,China
57,Manufacturing,China
